model,cv_roc_auc_mean,cv_roc_auc_std,best_params,accuracy,precision,recall,f1,roc_auc
XGBoost,0.8646389092413281,0.01056194049216491,"{'classifier__learning_rate': 0.03, 'classifier__max_depth': 3}",0.8026969481902059,0.6558441558441559,0.5401069518716578,0.592375366568915,0.8557764344209358
Random Forest,0.8630578778435952,0.009192206385444943,"{'classifier__max_depth': 8, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 400}",0.7643718949609652,0.5399239543726235,0.7593582887700535,0.6311111111111111,0.8520796197266784
Logistic Regression,0.8588667640731378,0.012515665390749857,{'classifier__C': 3.0},0.7452093683463449,0.5130890052356021,0.786096256684492,0.6209081309398099,0.8483427626650133
